weibo_id,original_text,user_id,created_at,retweet_count,comment_count,like_count,user_authentication,original_link,decoded_link,is_paper,confidence,source,doi,matched_pattern
31,,7463051298.0,,0,0,0,普通用户,https://doi.org/10.12677/HJCB.2018.84008,https://doi.org/10.12677/HJCB.2018.84008,True,high,DOI,10.12677/HJCB.2018.84008,DOI
32,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/5fa9175f91e011e83f7407f4/?conf=iclr2021?f=wb,https://www.aminer.cn/pub/5fa9175f91e011e83f7407f4/?conf=iclr2021?f=wb,True,high,AMiner,,AMiner
33,,7472274415.0,,0,0,0,普通用户,https://www.hanspub.org/journal/PaperInformation.aspx?paperID=40057,https://www.hanspub.org/journal/PaperInformation.aspx?paperID=40057,True,high,hans,,hans
34,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/5f7c477591e0117ac2a78a81/?conf=iclr2021?f=wb,https://www.aminer.cn/pub/5f7c477591e0117ac2a78a81/?conf=iclr2021?f=wb,True,high,AMiner,,AMiner
35,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/5e67655391e011e0d1791148/?conf=cvpr2021?f=wb,https://www.aminer.cn/pub/5e67655391e011e0d1791148/?conf=cvpr2021?f=wb,True,high,AMiner,,AMiner
36,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/5fbcd1b491e01127d58eed47/?conf=iclr2021?f=wb,https://www.aminer.cn/pub/5fbcd1b491e01127d58eed47/?conf=iclr2021?f=wb,True,high,AMiner,,AMiner
37,,7463051298.0,,0,0,0,普通用户,https://doi.org/10.12677/HJCB.2018.84008,https://doi.org/10.12677/HJCB.2018.84008,True,high,DOI,10.12677/HJCB.2018.84008,DOI
38,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/60226f7a91e011e70e451340/?conf=www2021?f=wb,https://www.aminer.cn/pub/60226f7a91e011e70e451340/?conf=www2021?f=wb,True,high,AMiner,,AMiner
39,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/604f35b991e01127d2b6e8b9/?conf=cvpr2021?f=wb,https://www.aminer.cn/pub/604f35b991e01127d2b6e8b9/?conf=cvpr2021?f=wb,True,high,AMiner,,AMiner
40,,7463051298.0,,0,0,0,普通用户,https://doi.org/10.12677/OJNS.2021.92031,https://doi.org/10.12677/OJNS.2021.92031,True,high,DOI,10.12677/OJNS.2021.92031,DOI
41,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/5f7c3b2991e0117ac2a78919/?conf=iclr2021?f=wb,https://www.aminer.cn/pub/5f7c3b2991e0117ac2a78919/?conf=iclr2021?f=wb,True,high,AMiner,,AMiner
42,,6890507718.0,,0,0,0,蓝V,http://www.jzus.zju.edu.cn/article.php?doi=10.1631/jzus.A2000501,http://www.jzus.zju.edu.cn/article.php?doi=10.1631/jzus.A2000501,True,high,DOI,10.1631/jzus.A2000501,DOI
43,,7463051298.0,,0,0,0,普通用户,https://doi.org/10.12677/BR.2021.103041,https://doi.org/10.12677/BR.2021.103041,True,high,DOI,10.12677/BR.2021.103041,DOI
44,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/603e03ed91e01129ef28fb7c/?conf=ijcai2021?f=wb,https://www.aminer.cn/pub/603e03ed91e01129ef28fb7c/?conf=ijcai2021?f=wb,True,high,AMiner,,AMiner
45,,6890507718.0,,0,0,0,蓝V,http://www.jzus.zju.edu.cn/article.php?doi=10.1631/FITEE.2000489,http://www.jzus.zju.edu.cn/article.php?doi=10.1631/FITEE.2000489,True,high,DOI,10.1631/FITEE.2000489,DOI
46,,1894295570.0,,0,0,0,蓝V,https://www.scirp.org/journal/paperinformation.aspx?paperid=110998&utm_campaign=weibo&utm_medium=chenling,https://www.scirp.org/journal/paperinformation.aspx?paperid=110998&utm_campaign=weibo&utm_medium=chenling,True,high,SCIRP 美国科研出版社,,SCIRP 美国科研出版社
47,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/HJCE.2021.107078,https://doi.org/10.12677/HJCE.2021.107078,True,high,DOI,10.12677/HJCE.2021.107078,DOI
48,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/ASS.2021.107261,https://doi.org/10.12677/ASS.2021.107261,True,high,DOI,10.12677/ASS.2021.107261,DOI
49,,3659841663.0,,0,0,0,普通用户,https://arxiv.org/abs/2007.15528,https://arxiv.org/abs/2007.15528,True,high,arXiv,,arXiv
50,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/HJCE.2021.107076,https://doi.org/10.12677/HJCE.2021.107076,True,high,DOI,10.12677/HJCE.2021.107076,DOI
51,,1870858943.0,,0,0,0,蓝V,https://www.aminer.cn/pub/6037828e91e011d7c73cd499?f=confwb,https://www.aminer.cn/pub/6037828e91e011d7c73cd499?f=confwb,True,high,AMiner,,AMiner
