altmetric_id,any_paper,max_confidence,total_links
3801489,True,high,2
780346,True,high,5
4153362,True,high,4
2687717,True,high,7
1087011,True,high,2
3346849,True,high,3
1805312,True,high,10
1789331,True,high,33
3060063,True,high,1
2693924,True,medium,1
1797672,True,high,162
3047876,True,high,10
3402270,True,high,2
3069159,True,high,26
2350426,True,high,3
2890381,True,high,3
3768924,True,high,11
2923271,True,high,15
2927682,True,high,43
3804624,True,high,8
3068806,True,high,6
2912437,True,high,19
2647219,True,high,6
3055196,True,high,5
3794587,True,high,26
2738100,True,high,4
2614831,True,high,11
3090697,True,high,10
3297985,True,high,5
2278999,True,high,12
3804680,True,high,12
2671736,True,high,17
2686803,True,high,5
2996590,True,high,19
12062638,True,high,7
2357845,True,high,6
2636913,True,high,10
3711604,True,high,13
2517982,True,high,10
3090999,True,medium,1
2719499,True,medium,1
1574867,True,high,4
3769269,True,high,14
3537445,True,high,18
4512437,False,none,1
1892731,True,high,9
2606324,True,high,14
219878,True,high,24
2017721,True,high,7
3707032,True,high,15
2182177,True,high,9
2684504,True,high,16
2930575,True,high,12
3073015,True,high,16
2516550,True,high,7
2331709,True,high,10
660070,True,high,4
2888901,True,high,12
2921504,True,medium,1
2319057,True,high,5
2004870,True,high,2
2924728,True,high,42
2498154,True,high,16
3443890,True,high,15
2943977,True,high,1
2338915,True,high,2
2614220,True,high,11
2712945,True,high,12
2448850,True,high,36
101727808,True,high,9
2513376,True,high,9
2667581,True,high,17
2966220,True,high,31
2543510,True,high,11
2664047,True,high,1
3548693,True,high,15
1393998,True,high,3
3030883,True,high,20
3033768,True,high,23
2015052,True,high,8
2939370,True,high,35
3008889,True,medium,1
3011772,True,high,3
3086658,True,high,5
1864149,True,high,4
2744110,True,high,13
3746911,True,medium,3
2593029,True,high,5
101925816,True,high,13
2529077,True,high,6
1575589,True,high,153
4249757,True,medium,1
4280667,True,high,9
3445869,True,high,2
2661524,True,high,1
2529580,True,high,1
2692181,True,high,5
2927165,True,high,21
2906910,True,high,2
2611523,True,high,6
2862301,True,high,3
2712139,True,high,6
2554642,True,high,10
1660900,True,high,8
2897779,False,none,1
3046062,True,medium,1
2463988,True,high,2
3709240,True,high,15
3708796,True,high,22
2312408,True,high,5
2772666,True,high,4
2392997,True,high,16
505077,True,high,4
2885622,True,high,4
889230,True,high,17
2670000,True,high,8
2991098,True,high,4
2319390,True,high,11
2466577,True,high,37
2328185,True,high,5
1900782,True,high,48
2598509,True,high,61
3103275,True,high,1
3367171,True,high,16
3324417,True,high,13
2737765,True,high,4
2846873,True,high,13
2757895,True,high,5
1718725,True,high,61
2885572,True,high,23
2263604,True,high,8
1660695,True,medium,2
4086704,True,high,6
3714925,True,high,5
2852313,False,none,1
2596199,True,high,2
2826231,True,high,5
3392461,True,medium,1
2288217,True,high,10
2710168,True,high,20
2717858,True,high,3
2836177,True,high,4
3546666,True,high,13
3081841,True,high,1
2308390,True,high,19
3735558,True,high,16
3801617,True,high,104
3082541,True,high,2
2546609,True,high,10
3829752,True,high,22
2757157,True,high,16
2639264,False,none,1
3878857,True,high,4
2633368,True,high,11
3072399,True,high,9
2688604,True,high,4
2342238,True,high,1
